"observation","communityid","facebook","twitter","members","ideas","comments","votes","age"
"10","233","42","47","124","34","29","293","101"
"10","246","41","3","27","31","135","174","100"
"10","277","49","0","54","28","13","316","234"
"10","287","33","21","34","28","37","179","485"
"10","325","20","0","15","25","101","160","611"
"10","327","0","0","22","23","16","130","87"
"10","345","8","2","19","21","5","97","101"
"10","347","31","34","95","21","19","218","84"
"10","394","61","36","85","128","48","744","75"
"10","401","28","25","76","24","37","299","187"
"10","411","0","0","60","31","48","183","70"
"10","426","96","13","63","38","57","399","108"
"10","457","11","1","155","75","311","2111","619"
"10","465","112","32","139","26","38","283","294"
"10","476","7","3","87","41","118","111","275"
"11","82","36","5","174","107","183","1895","587"
"11","88","14","40","199","95","296","469","321"
"11","101","61","5","183","90","78","484","425"
"11","114","9","37","212","68","113","146","1151"
"11","132","0","1","12","80","54","53","378"
"11","138","69","8","101","75","18","270","835"
"11","140","14","15","96","78","11","364","232"
"11","147","119","13","90","53","202","670","180"
"11","155","113","0","59","51","56","198","463"
"11","178","0","0","21","46","68","254","83"
"11","203","0","0","55","39","57","250","643"
"11","209","40","0","50","47","49","317","240"
"11","221","46","4","65","36","54","301","712"
"11","233","42","47","124","34","29","293","106"
"11","246","41","3","27","31","135","174","105"
"11","277","49","0","54","28","13","316","239"
"11","287","33","21","34","28","37","179","490"
"11","325","20","0","15","25","101","160","616"
"11","327","0","0","22","23","16","130","92"
"11","345","8","2","19","21","5","97","106"
"11","347","31","34","95","21","19","218","89"
"11","394","61","36","85","128","48","744","80"
"11","401","28","25","76","24","37","299","192"
"11","411","0","0","60","31","48","183","75"
"11","426","96","13","63","38","57","399","113"
"11","457","11","1","155","75","311","2111","624"
"11","465","112","32","139","26","38","283","299"
"11","476","7","3","90","42","133","131","280"
"12","82","36","5","174","107","183","1895","592"
"12","88","14","40","199","95","296","469","326"
"12","101","61","5","183","90","78","484","430"
"12","114","9","37","212","68","113","146","1156"
"12","132","0","1","12","80","54","53","383"
"12","138","69","8","101","75","18","270","840"
"12","140","14","15","96","78","11","364","237"
"12","147","119","13","90","53","202","670","185"
"12","155","113","0","59","51","56","198","468"
"12","178","0","0","21","46","68","254","88"
"12","203","0","0","55","39","57","250","648"
"12","209","40","0","50","47","49","317","245"
"12","221","46","4","65","36","54","301","717"
"12","233","42","47","124","34","29","293","111"
"12","246","41","3","27","31","135","174","110"
"12","277","49","0","54","28","13","316","244"
"12","287","33","21","34","28","37","179","495"
"12","325","20","0","15","25","101","160","621"
"12","327","0","0","22","23","16","130","97"
"12","345","8","2","19","21","5","97","111"
"12","347","31","34","95","21","19","218","94"
"12","394","61","36","85","128","48","744","85"
